02 Feb 2024 09:11:49,403 | [20] | INFO  | ~1 | System Executable :D:\FPDS\NEW_ARMSSERVICE\ARMSSERVICE\ArmsServiceMonitor.exe
02 Feb 2024 09:29:49,336 | [160] | INFO  | ~72 | Hosting http://192.168.1.5:9095/arms/ISVO
02 Feb 2024 09:29:49,365 | [164] | INFO  | ~73 | Hosted SServer hosted at http://192.168.1.5:9095/arms/ISVO

02 Feb 2024 09:29:49,366 | [169] | INFO  | ~74 | Hosting http://192.168.1.5:9095/arms/IMDO
02 Feb 2024 09:29:49,383 | [163] | INFO  | ~75 | Hosted SDevice hosted at http://192.168.1.5:9095/arms/IMDO

02 Feb 2024 09:29:49,384 | [165] | INFO  | ~76 | Hosting http://192.168.1.5:9095/arms/IEMO
02 Feb 2024 09:29:49,408 | [170] | INFO  | ~77 | Hosted SEmail hosted at http://192.168.1.5:9095/arms/IEMO

02 Feb 2024 09:29:49,410 | [164] | INFO  | ~78 | Hosting http://192.168.1.5:9095/arms/ISMO
02 Feb 2024 09:29:49,420 | [162] | INFO  | ~79 | Hosted SSMS hosted at http://192.168.1.5:9095/arms/ISMO

02 Feb 2024 09:29:49,421 | [163] | INFO  | ~80 | Hosting http://192.168.1.5:9095/arms/ILMO
02 Feb 2024 09:29:49,426 | [165] | INFO  | ~81 | Hosted SLMO hosted at http://192.168.1.5:9095/arms/ILMO

02 Feb 2024 09:29:49,428 | [169] | INFO  | ~82 | Hosting http://192.168.1.5:9095/arms/IVER
02 Feb 2024 09:29:49,435 | [164] | INFO  | ~83 | Hosted SVER hosted at http://192.168.1.5:9095/arms/IVER

02 Feb 2024 09:29:49,436 | [160] | INFO  | ~84 | Hosting http://192.168.1.5:9095/arms/ISYN
02 Feb 2024 09:29:49,442 | [167] | INFO  | ~85 | Hosted SSYN hosted at http://192.168.1.5:9095/arms/ISYN

02 Feb 2024 09:29:49,442 | [163] | INFO  | ~86 | Hosting http://192.168.1.5:9095/arms/ILBO
02 Feb 2024 09:29:49,451 | [166] | INFO  | ~87 | Hosted SNLB hosted at http://192.168.1.5:9095/arms/ILBO

02 Feb 2024 09:29:49,482 | [169] | INFO  | ~88 | IPC Pipe b359757d-1565-4e77-85ba-5e916fa74313 Started
02 Feb 2024 09:29:49,490 | [170] | INFO  | ~89 | Web Monitor Initialized At http://192.168.1.5:8888
02 Feb 2024 09:29:55,970 | [164] | INFO  | ~90 | SignalR Service Hosted at http://192.168.1.5:8080

02 Feb 2024 15:46:50,473 | [160] | INFO  | ~91 | Cached 2 trusted devices.
02 Feb 2024 15:46:50,475 | [156] | INFO  | ~92 | Cached 2 trusted devices.
02 Feb 2024 15:46:50,524 | [20] | INFO  | ~93 | Cached 2 trusted devices.
02 Feb 2024 15:46:50,529 | [159] | INFO  | ~94 | Cached 2 trusted devices.
02 Feb 2024 15:46:50,590 | [169] | INFO  | ~95 | Cached 2 trusted devices.
02 Feb 2024 15:46:50,761 | [163] | INFO  | ~96 | Cached 2 trusted devices.
02 Feb 2024 15:46:50,765 | [125] | INFO  | ~97 | Cached 2 trusted devices.
02 Feb 2024 15:46:57,458 | [19] | INFO  | ~98 | Cached 2 trusted devices.
02 Feb 2024 15:46:57,484 | [163] | INFO  | ~100 | Cached 2 trusted devices.
02 Feb 2024 15:46:57,484 | [126] | INFO  | ~99 | Cached 2 trusted devices.
02 Feb 2024 15:46:57,509 | [127] | INFO  | ~101 | Cached 2 trusted devices.
02 Feb 2024 15:46:57,550 | [166] | INFO  | ~102 | Cached 2 trusted devices.
02 Feb 2024 15:46:57,550 | [24] | INFO  | ~103 | Cached 2 trusted devices.
02 Feb 2024 15:46:57,722 | [159] | INFO  | ~104 | Cached 2 trusted devices.
02 Feb 2024 15:47:06,743 | [22] | INFO  | ~105 | Cached 2 trusted devices.
02 Feb 2024 15:47:06,766 | [24] | INFO  | ~106 | Cached 2 trusted devices.
02 Feb 2024 15:47:06,766 | [21] | INFO  | ~107 | Cached 2 trusted devices.
02 Feb 2024 15:47:06,905 | [170] | INFO  | ~109 | Cached 2 trusted devices.
02 Feb 2024 15:47:06,905 | [127] | INFO  | ~108 | Cached 2 trusted devices.
02 Feb 2024 15:47:06,911 | [168] | INFO  | ~110 | Cached 2 trusted devices.
02 Feb 2024 15:47:28,879 | [162] | INFO  | ~111 | Cached 2 trusted devices.
02 Feb 2024 15:47:28,901 | [167] | INFO  | ~112 | Cached 2 trusted devices.
02 Feb 2024 15:47:28,904 | [133] | INFO  | ~113 | Cached 2 trusted devices.
02 Feb 2024 15:47:28,953 | [20] | INFO  | ~114 | Cached 2 trusted devices.
02 Feb 2024 15:47:28,953 | [164] | INFO  | ~115 | Cached 2 trusted devices.
02 Feb 2024 15:48:36,682 | [126] | INFO  | ~116 | Cached 2 trusted devices.
02 Feb 2024 15:48:36,713 | [21] | INFO  | ~117 | Cached 2 trusted devices.
02 Feb 2024 15:48:36,713 | [168] | INFO  | ~118 | Cached 2 trusted devices.
02 Feb 2024 15:48:36,835 | [22] | INFO  | ~120 | Cached 2 trusted devices.
02 Feb 2024 15:48:36,835 | [169] | INFO  | ~119 | Cached 2 trusted devices.
02 Feb 2024 15:48:36,838 | [163] | INFO  | ~121 | Cached 2 trusted devices.
02 Feb 2024 16:54:25,406 | [162] | INFO  | ~122 | Cached 2 trusted devices.
02 Feb 2024 16:54:25,536 | [156] | INFO  | ~123 | Cached 2 trusted devices.
02 Feb 2024 16:54:25,596 | [22] | INFO  | ~124 | Cached 2 trusted devices.
02 Feb 2024 16:54:25,654 | [20] | INFO  | ~125 | Cached 2 trusted devices.
02 Feb 2024 16:54:25,711 | [165] | INFO  | ~126 | Cached 2 trusted devices.
02 Feb 2024 16:54:25,768 | [19] | INFO  | ~127 | Cached 2 trusted devices.
02 Feb 2024 16:54:25,784 | [24] | INFO  | ~128 | Cached 2 trusted devices.
02 Feb 2024 16:54:37,637 | [156] | INFO  | ~129 | Cached 2 trusted devices.
02 Feb 2024 16:54:37,648 | [24] | INFO  | ~130 | Cached 2 trusted devices.
02 Feb 2024 16:54:37,696 | [163] | INFO  | ~131 | Cached 2 trusted devices.
02 Feb 2024 16:54:37,706 | [20] | INFO  | ~132 | Cached 2 trusted devices.
02 Feb 2024 16:54:37,750 | [21] | INFO  | ~133 | Cached 2 trusted devices.
02 Feb 2024 16:54:37,763 | [162] | INFO  | ~134 | Cached 2 trusted devices.
02 Feb 2024 16:54:37,875 | [20] | INFO  | ~135 | Cached 2 trusted devices.
02 Feb 2024 16:54:52,642 | [160] | INFO  | ~136 | Cached 2 trusted devices.
02 Feb 2024 16:54:52,658 | [162] | INFO  | ~137 | Cached 2 trusted devices.
02 Feb 2024 16:54:52,658 | [159] | INFO  | ~138 | Cached 2 trusted devices.
02 Feb 2024 16:54:52,795 | [163] | INFO  | ~139 | Cached 2 trusted devices.
02 Feb 2024 16:54:52,798 | [170] | INFO  | ~140 | Cached 2 trusted devices.
02 Feb 2024 16:54:52,802 | [21] | INFO  | ~141 | Cached 2 trusted devices.
02 Feb 2024 16:54:59,083 | [168] | INFO  | ~142 | System Executable :D:\FPDS\NEW_ARMSSERVICE\ARMSSERVICE\ArmsServiceMonitor.exe
02 Feb 2024 16:55:01,208 | [20] | INFO  | ~143 | System Executable :D:\FPDS\NEW_ARMSSERVICE\ARMSSERVICE\ArmsServiceMonitor.exe
02 Feb 2024 16:55:04,030 | [21] | INFO  | ~144 | Initializing Log From Path :D:\FPDS\NEW_ARMSSERVICE\ARMSSERVICE
 
02 Feb 2024 16:55:04,125 | [162] | INFO  | ~146 | Logger Engine Initialized.
02 Feb 2024 16:55:04,125 | [156] | INFO  | ~145 | Application Path is verified.
02 Feb 2024 16:55:04,150 | [168] | INFO  | ~147 | Checked Network Availability.
02 Feb 2024 16:55:04,151 | [164] | INFO  | ~148 | Mapping Directories.
02 Feb 2024 16:55:04,246 | [165] | INFO  | ~149 | DB Backup Set To 0:30
02 Feb 2024 16:55:04,247 | [133] | INFO  | ~150 | Log Backup Set To 17:30
02 Feb 2024 16:55:04,249 | [170] | INFO  | ~151 | EOD Set To 0:1
02 Feb 2024 16:55:04,291 | [162] | INFO  | ~152 | Config Loaded Successfully
02 Feb 2024 16:55:04,291 | [24] | INFO  | ~153 | Loading Metadata Users !!
02 Feb 2024 16:55:04,291 | [20] | INFO  | ~154 | TSC:13
02 Feb 2024 16:55:04,291 | [168] | INFO  | ~155 | Loading ORM !!
02 Feb 2024 16:55:04,863 | [159] | INFO  | ~156 | Loading Trusted Subscribers !!
02 Feb 2024 16:55:04,924 | [170] | INFO  | ~157 | Registered Peers IP:192.168.16.113:192.168.1.5
02 Feb 2024 16:55:04,924 | [21] | INFO  | ~159 | Registered NLB Token
02 Feb 2024 16:55:04,924 | [160] | INFO  | ~158 | Registered NLB Peers192.168.16.113,
02 Feb 2024 16:55:04,924 | [22] | INFO  | ~161 | Server Slave To 192.168.16.114:9095
02 Feb 2024 16:55:04,924 | [163] | INFO  | ~160 | Registered 13 trusted users.
02 Feb 2024 16:55:04,924 | [167] | INFO  | ~162 | Loading Trusted Devices !!
02 Feb 2024 16:55:04,982 | [159] | INFO  | ~163 | Cached 2 trusted devices.
02 Feb 2024 16:55:04,982 | [166] | INFO  | ~164 | Loading Application Metadata !!
02 Feb 2024 16:55:05,125 | [170] | INFO  | ~165 | Loading Application Data !!
02 Feb 2024 16:55:05,136 | [163] | INFO  | ~168 | Loading Application Emails !!
02 Feb 2024 16:55:05,136 | [160] | INFO  | ~167 | Row : 0DBIndex: 0 CS:Data Source=APGH01\DEV;User ID=arms;Password=roti1234;Initial Catalog=TESTDB;Application Name=ARMS;Min Pool Size=1;Max Pool Size=100;
02 Feb 2024 16:55:05,136 | [22] | INFO  | ~166 | Loading Application Databases : 1
02 Feb 2024 16:55:05,136 | [164] | INFO  | ~169 | Loading Application Rules !!
02 Feb 2024 16:55:05,144 | [166] | INFO  | ~171 | Loading Application Preferences !!
02 Feb 2024 16:55:05,144 | [159] | INFO  | ~170 | Loaded Application Rules :1
02 Feb 2024 16:55:05,218 | [24] | INFO  | ~172 | Loading MFA Service Actions !!
02 Feb 2024 16:55:05,224 | [21] | INFO  | ~174 | Cached Custom Message Dictionary :7
02 Feb 2024 16:55:05,224 | [165] | INFO  | ~175 | Loading Application Automated Imports !!
02 Feb 2024 16:55:05,224 | [170] | INFO  | ~173 | Loading Status Messages :7
02 Feb 2024 16:55:05,246 | [163] | INFO  | ~176 | Granting Access Privileges To IMPEX Path
02 Feb 2024 16:55:05,251 | [167] | INFO  | ~177 | Cached 1 Bulk Import Sites.
02 Feb 2024 16:55:05,261 | [165] | INFO  | ~178 | Cached Download URL Dictionary :0
02 Feb 2024 16:55:05,261 | [160] | INFO  | ~180 | Cached Application Metadata !!
02 Feb 2024 16:55:05,261 | [170] | INFO  | ~179 | Loading Pre Defined Scheduled Download URLs :0
02 Feb 2024 16:55:05,376 | [162] | INFO  | ~182 | Dynamic Parsing Enabled :3
02 Feb 2024 16:55:05,376 | [24] | INFO  | ~181 | Cached Application Message Map Metadata !!
02 Feb 2024 16:55:05,444 | [167] | INFO  | ~183 | User Scavenger CRON Initialized 

02 Feb 2024 16:55:05,449 | [20] | INFO  | ~191 | EOD CRON Initialized 

02 Feb 2024 16:55:05,444 | [170] | INFO  | ~189 | Memory Monitor CRON Initialized 

02 Feb 2024 16:55:05,444 | [22] | INFO  | ~185 | POP Emails CRON Initialized 

02 Feb 2024 16:55:05,444 | [160] | INFO  | ~188 | Memory Monitor CRON Initialized 

02 Feb 2024 16:55:05,444 | [156] | INFO  | ~190 | Network Monitor CRON Initialized 

02 Feb 2024 16:55:05,444 | [165] | INFO  | ~187 | DB Backup CRON Initialized 

02 Feb 2024 16:55:05,444 | [168] | INFO  | ~186 | SMS Monitor CRON Initialized 

02 Feb 2024 16:55:05,444 | [159] | INFO  | ~184 | LOG Backup CRON Initialized 

02 Feb 2024 16:55:05,450 | [166] | INFO  | ~192 | Impex Transfers Initialized 

02 Feb 2024 16:55:05,450 | [162] | INFO  | ~193 | Hosting http://192.168.1.5:9095/arms/IDBO
02 Feb 2024 16:55:05,473 | [164] | INFO  | ~194 | Hosted 

02 Feb 2024 16:55:05,473 | [24] | INFO  | ~195 | Hosting http://192.168.1.5:9095/arms/IFIO
02 Feb 2024 16:55:05,475 | [20] | INFO  | ~196 | Hosted 

02 Feb 2024 16:55:05,477 | [22] | INFO  | ~197 | Hosting http://192.168.1.5:9095/arms/IDSO
02 Feb 2024 16:55:05,479 | [156] | INFO  | ~198 | Hosted 

02 Feb 2024 16:55:05,480 | [133] | INFO  | ~199 | Hosting http://192.168.1.5:9095/arms/IUSO
02 Feb 2024 16:55:05,483 | [163] | INFO  | ~200 | Hosted 

02 Feb 2024 16:55:05,483 | [166] | INFO  | ~201 | Hosting http://192.168.1.5:9095/arms/ISVO
02 Feb 2024 16:55:05,491 | [21] | INFO  | ~202 | Hosted 

02 Feb 2024 16:55:05,491 | [164] | INFO  | ~203 | Hosting http://192.168.1.5:9095/arms/IMDO
02 Feb 2024 16:55:05,495 | [170] | INFO  | ~204 | Hosted 

02 Feb 2024 16:55:05,495 | [20] | INFO  | ~205 | Hosting http://192.168.1.5:9095/arms/IEMO
02 Feb 2024 16:55:05,498 | [165] | INFO  | ~206 | Hosted 

02 Feb 2024 16:55:05,498 | [156] | INFO  | ~207 | Hosting http://192.168.1.5:9095/arms/ISMO
02 Feb 2024 16:55:05,501 | [159] | INFO  | ~208 | Hosted 

02 Feb 2024 16:55:05,501 | [163] | INFO  | ~209 | Hosting http://192.168.1.5:9095/arms/ILMO
02 Feb 2024 16:55:05,503 | [167] | INFO  | ~210 | Hosted 

02 Feb 2024 16:55:05,503 | [21] | INFO  | ~211 | Hosting http://192.168.1.5:9095/arms/IVER
02 Feb 2024 16:55:05,506 | [160] | INFO  | ~212 | Hosted 

02 Feb 2024 16:55:05,506 | [170] | INFO  | ~213 | Hosting http://192.168.1.5:9095/arms/ISYN
02 Feb 2024 16:55:05,509 | [168] | INFO  | ~214 | Hosted 

02 Feb 2024 16:55:05,509 | [165] | INFO  | ~215 | Hosting http://192.168.1.5:9095/arms/ILBO
02 Feb 2024 16:55:05,515 | [162] | INFO  | ~216 | Hosted 

02 Feb 2024 16:55:05,515 | [159] | INFO  | ~217 | IPC Pipe b359757d-1565-4e77-85ba-5e916fa74313 Started
02 Feb 2024 16:55:05,774 | [167] | INFO  | ~218 | Initializing Log From Path :D:\FPDS\NEW_ARMSSERVICE\ARMSSERVICE
 
02 Feb 2024 16:55:05,850 | [170] | INFO  | ~220 | Logger Engine Initialized.
02 Feb 2024 16:55:05,850 | [20] | INFO  | ~219 | Application Path is verified.
02 Feb 2024 16:55:05,874 | [168] | INFO  | ~221 | Checked Network Availability.
02 Feb 2024 16:55:05,874 | [166] | INFO  | ~222 | Mapping Directories.
02 Feb 2024 16:55:05,974 | [162] | INFO  | ~223 | DB Backup Set To 0:30
02 Feb 2024 16:55:05,977 | [169] | INFO  | ~224 | Log Backup Set To 17:30
02 Feb 2024 16:55:05,977 | [21] | INFO  | ~225 | EOD Set To 0:1
02 Feb 2024 16:55:06,019 | [170] | INFO  | ~227 | Loading Metadata Users !!
02 Feb 2024 16:55:06,019 | [133] | INFO  | ~226 | Config Loaded Successfully
02 Feb 2024 16:55:06,019 | [20] | INFO  | ~228 | TSC:14
02 Feb 2024 16:55:06,019 | [163] | INFO  | ~229 | Loading ORM !!
02 Feb 2024 16:55:06,556 | [165] | INFO  | ~230 | Loading Trusted Subscribers !!
02 Feb 2024 16:55:06,616 | [162] | INFO  | ~231 | Registered Peers IP:192.168.16.113:192.168.1.5
02 Feb 2024 16:55:06,616 | [24] | INFO  | ~233 | Registered NLB Token
02 Feb 2024 16:55:06,616 | [169] | INFO  | ~234 | Registered 14 trusted users.
02 Feb 2024 16:55:06,616 | [156] | INFO  | ~232 | Registered NLB Peers192.168.16.113,
02 Feb 2024 16:55:06,616 | [160] | INFO  | ~236 | Loading Trusted Devices !!
02 Feb 2024 16:55:06,616 | [166] | INFO  | ~235 | Server Slave To 192.168.16.114:9095
02 Feb 2024 16:55:06,674 | [165] | INFO  | ~238 | Loading Application Metadata !!
02 Feb 2024 16:55:06,674 | [159] | INFO  | ~237 | Cached 2 trusted devices.
02 Feb 2024 16:55:06,751 | [164] | INFO  | ~239 | Loading Application Data !!
02 Feb 2024 16:55:06,751 | [166] | INFO  | ~245 | Loaded Application Rules :1
02 Feb 2024 16:55:06,751 | [160] | INFO  | ~241 | Loading Application Rules !!
02 Feb 2024 16:55:06,751 | [169] | INFO  | ~240 | Row : 0DBIndex: 0 CS:Data Source=APGH01\DEV;User ID=arms;Password=roti1234;Initial Catalog=TESTDB;Application Name=ARMS;Min Pool Size=1;Max Pool Size=100;
02 Feb 2024 16:55:06,751 | [168] | INFO  | ~246 | Loading MFA Service Actions !!
02 Feb 2024 16:55:06,751 | [24] | INFO  | ~244 | Loading Application Preferences !!
02 Feb 2024 16:55:06,751 | [156] | INFO  | ~243 | Loading Application Databases : 1
02 Feb 2024 16:55:06,751 | [162] | INFO  | ~242 | Loading Application Emails !!
02 Feb 2024 16:55:06,752 | [20] | INFO  | ~248 | Loading Status Messages :7
02 Feb 2024 16:55:06,753 | [165] | INFO  | ~250 | Loading Application Automated Imports !!
02 Feb 2024 16:55:06,752 | [159] | INFO  | ~249 | Granting Access Privileges To IMPEX Path
02 Feb 2024 16:55:06,751 | [163] | INFO  | ~247 | Cached Custom Message Dictionary :7
02 Feb 2024 16:55:06,757 | [166] | INFO  | ~251 | Cached 1 Bulk Import Sites.
02 Feb 2024 16:55:06,758 | [22] | INFO  | ~254 | Cached Application Metadata !!
02 Feb 2024 16:55:06,757 | [170] | INFO  | ~253 | Loading Pre Defined Scheduled Download URLs :0
02 Feb 2024 16:55:06,757 | [21] | INFO  | ~252 | Cached Download URL Dictionary :0
02 Feb 2024 16:55:06,820 | [160] | INFO  | ~256 | Dynamic Parsing Enabled :3
02 Feb 2024 16:55:06,820 | [169] | INFO  | ~255 | Cached Application Message Map Metadata !!
02 Feb 2024 16:55:06,878 | [80] | INFO  | ~257 | User Scavenger CRON Initialized 

02 Feb 2024 16:55:06,879 | [77] | INFO  | ~259 | POP Emails CRON Initialized 

02 Feb 2024 16:55:06,879 | [165] | INFO  | ~263 | Memory Monitor CRON Initialized 

02 Feb 2024 16:55:06,879 | [163] | INFO  | ~265 | EOD CRON Initialized 

02 Feb 2024 16:55:06,886 | [159] | INFO  | ~268 | Hosted 

02 Feb 2024 16:55:06,879 | [167] | INFO  | ~258 | LOG Backup CRON Initialized 

02 Feb 2024 16:55:06,879 | [79] | INFO  | ~264 | Network Monitor CRON Initialized 

02 Feb 2024 16:55:06,879 | [162] | INFO  | ~262 | Memory Monitor CRON Initialized 

02 Feb 2024 16:55:06,880 | [81] | INFO  | ~267 | Hosting http://192.168.1.5:9095/arms/IDBO
02 Feb 2024 16:55:06,879 | [20] | INFO  | ~261 | DB Backup CRON Initialized 

02 Feb 2024 16:55:06,879 | [82] | INFO  | ~260 | SMS Monitor CRON Initialized 

02 Feb 2024 16:55:06,879 | [166] | INFO  | ~266 | Impex Transfers Initialized 

02 Feb 2024 16:55:06,900 | [21] | INFO  | ~273 | Hosting http://192.168.1.5:9095/arms/IUSO
02 Feb 2024 16:55:06,892 | [22] | INFO  | ~270 | Hosted 

02 Feb 2024 16:55:06,889 | [86] | INFO  | ~269 | Hosting http://192.168.1.5:9095/arms/IFIO
02 Feb 2024 16:55:06,892 | [165] | INFO  | ~271 | Hosting http://192.168.1.5:9095/arms/IDSO
02 Feb 2024 16:55:06,903 | [24] | INFO  | ~274 | Hosted 

02 Feb 2024 16:55:06,903 | [160] | INFO  | ~275 | Hosting http://192.168.1.5:9095/arms/ISVO
02 Feb 2024 16:55:06,900 | [85] | INFO  | ~272 | Hosted 

02 Feb 2024 16:55:06,911 | [133] | INFO  | ~276 | Hosted 

02 Feb 2024 16:55:06,911 | [80] | INFO  | ~277 | Hosting http://192.168.1.5:9095/arms/IMDO
02 Feb 2024 16:55:06,921 | [163] | INFO  | ~278 | Hosted 

02 Feb 2024 16:55:06,922 | [167] | INFO  | ~279 | Hosting http://192.168.1.5:9095/arms/IEMO
02 Feb 2024 16:55:06,924 | [162] | INFO  | ~280 | Hosted 

02 Feb 2024 16:55:06,925 | [84] | INFO  | ~281 | Hosting http://192.168.1.5:9095/arms/ISMO
02 Feb 2024 16:55:06,928 | [20] | INFO  | ~282 | Hosted 

02 Feb 2024 16:55:06,928 | [82] | INFO  | ~283 | Hosting http://192.168.1.5:9095/arms/ILMO
